name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value
Immanuel Quickley,PG/SG,5000,NY,37.0,19.55,7.4,3.91,12.0
Tyus Jones,PG,4900,MEM,32.8,17.94,6.69,3.66,8.3
Moritz Wagner,C/UTIL,3900,ORL,27.4,14.95,7.03,3.83,7.9
Marvin Bagley,PF/C,5500,DET,35.2,17.86,6.4,3.25,7.7
Tyrese Maxey,PG/SG,5800,PHI,36.3,18.63,6.26,3.21,7.3
RJ Barrett,SF,5300,NY,33.5,18.03,6.32,3.4,7.0
Jaden Ivey,PG/SG,5800,DET,33.3,18.76,5.74,3.23,4.3
Dillon Brooks,SF,4200,MEM,24.3,12.33,5.79,2.94,3.3
Cole Anthony,PG/SG,4400,ORL,25.0,14.44,5.68,3.28,3.0
Bobby Portis,PF/C,6300,MIL,34.2,17.57,5.43,2.79,2.7
Khris Middleton,SF,6400,MIL,34.6,18.85,5.41,2.95,2.6
Jalen Suggs,PG/SG,4200,ORL,23.5,12.77,5.6,3.04,2.5
Josh Hart,SG/SF/F,4800,NY,26.4,13.6,5.5,2.83,2.4
Mitchell Robinson,C/UTIL,4900,NY,26.9,14.35,5.49,2.93,2.4
Julius Randle,PF,9900,NY,51.2,26.0,5.17,2.63,1.7
Spencer Dinwiddie,PG,7300,BKN,37.8,19.39,5.18,2.66,1.3
Desmond Bane,SG,7700,MEM,39.7,21.43,5.16,2.78,1.2
Isaiah Livers,SF/PF,3400,DET,17.8,9.58,5.24,2.82,0.8
Jordan Goodwin,PG/SG,3100,WAS,16.3,8.14,5.26,2.63,0.8
Xavier Tillman,PF/C,5400,MEM,27.3,14.8,5.06,2.74,0.3
Delon Wright,PG,5000,WAS,25.0,12.09,5.0,2.42,0.0
Markelle Fultz,PG,6200,ORL,31.0,15.89,5.0,2.56,0.0
Jevon Carter,PG,3700,MIL,18.3,9.4,4.95,2.54,-0.2
Grayson Allen,SG,4500,MIL,22.3,11.61,4.96,2.58,-0.2
Joe Ingles,SG/SF/F,3500,MIL,17.3,8.67,4.94,2.48,-0.2
Quentin Grimes,SG/SF/F,3400,NY,16.6,8.65,4.88,2.54,-0.4
Paolo Banchero,SF/PF,7400,ORL,36.6,18.64,4.95,2.52,-0.4
Jalen Green,PG/SG,6400,HOU,31.6,16.52,4.94,2.58,-0.4
Bol Bol,PF/C,3200,ORL,15.5,8.68,4.84,2.71,-0.5
Bradley Beal,SG,8200,WAS,40.3,20.99,4.91,2.56,-0.7
Dorian Finney-Smith,PF,4000,BKN,19.2,10.66,4.8,2.66,-0.8
