pos,name,salary,team,opp,date
C,Nikola Jokic,10800,DEN,NY,2022-11-16
PG,Stephen Curry,10300,GS,PHO,2022-11-16
SG,Devin Booker,9000,PHO,GS,2022-11-16
PF/C,Julius Randle,7500,NY,DEN,2022-11-16
PG/SG,Jalen Brunson,7500,NY,DEN,2022-11-16
PG,Chris Paul,7300,PHO,GS,2022-11-16
SF/PF,Andrew Wiggins,7200,GS,PHO,2022-11-16
PG/SG,Jordan Poole,7000,GS,PHO,2022-11-16
C,Deandre Ayton,6800,PHO,GS,2022-11-16
SF/SG,RJ Barrett,6400,NY,DEN,2022-11-16
PG/SG,Jamal Murray,6400,DEN,NY,2022-11-16
PF/C,Aaron Gordon,6400,DEN,NY,2022-11-16
SG/SF,Mikal Bridges,6300,PHO,GS,2022-11-16
PF/SF,Michael Porter,6200,DEN,NY,2022-11-16
PG/SG,Cameron Payne,5900,PHO,GS,2022-11-16
PG,Bones Hyland,5800,DEN,NY,2022-11-16
PF/C,Draymond Green,5700,GS,PHO,2022-11-16
SG/SF,Klay Thompson,5500,GS,PHO,2022-11-16
SG/PG,Immanuel Quickley,5500,NY,DEN,2022-11-16
SG/SF,Kentavious Caldwell-Pope,5300,DEN,NY,2022-11-16
PF,Isaiah Hartenstein,5200,NY,DEN,2022-11-16
SG,Bruce Brown,5100,DEN,NY,2022-11-16
C/PF,Kevon Looney,4700,GS,PHO,2022-11-16
C,Mitchell Robinson,4700,NY,DEN,2022-11-16
SG/SF,Torrey Craig,4500,PHO,GS,2022-11-16
SG,Damion Lee,4400,PHO,GS,2022-11-16
C,Bismack Biyombo,4300,PHO,GS,2022-11-16
C,Jericho Sims,4200,NY,DEN,2022-11-16
SG,Landry Shamet,4200,PHO,GS,2022-11-16
PF,Obi Toppin,4100,NY,DEN,2022-11-16
C,Jock Landale,4100,PHO,GS,2022-11-16
C,DeAndre Jordan,4000,DEN,NY,2022-11-16
SF/PF,Cameron Johnson,4000,PHO,GS,2022-11-16
PG,Ty Jerome,3900,GS,PHO,2022-11-16
PF,Dario Saric,3800,PHO,GS,2022-11-16
PF/C,JaMychal Green,3800,GS,PHO,2022-11-16
SF,Anthony Lamb,3800,GS,PHO,2022-11-16
SF,Jonathan Kuminga,3800,GS,PHO,2022-11-16
SG,Moses Moody,3800,GS,PHO,2022-11-16
SG/SF,Evan Fournier,3600,NY,DEN,2022-11-16
SG/SF,Quentin Grimes,3500,NY,DEN,2022-11-16
SG/SF,Cam Reddish,3500,NY,DEN,2022-11-16
PG,Miles McBride,3500,NY,DEN,2022-11-16
PG/SG,Derrick Rose,3500,NY,DEN,2022-11-16
PG,Collin Gillespie,3500,DEN,NY,2022-11-16
PF/C,Zeke Nnaji,3500,DEN,NY,2022-11-16
SF,Ish Wainright,3500,PHO,GS,2022-11-16
SF,Vlatko Cancar,3500,DEN,NY,2022-11-16
SG,Duane Washington,3500,PHO,GS,2022-11-16
PF/SF,Jeff Green,3500,DEN,NY,2022-11-16
SF,Feron Hunt,3500,NY,DEN,2022-11-16
PF/SF,Jae Crowder,3500,PHO,GS,2022-11-16
PG/SG,Ryan Arcidiacono,3500,NY,DEN,2022-11-16
SF,Davon Reed,3500,DEN,NY,2022-11-16
SF,Andre Iguodala,3500,GS,PHO,2022-11-16
C,James Wiseman,3500,GS,PHO,2022-11-16
SG/SF,Donte DiVincenzo,3500,GS,PHO,2022-11-16
SF,Jack White,3500,DEN,NY,2022-11-16
SF/SG,Josh Okogie,3500,PHO,GS,2022-11-16
PG/SG,Ish Smith,3500,DEN,NY,2022-11-16
SG,Christian Braun,3500,DEN,NY,2022-11-16
SG,Svi Mykhailiuk,3500,NY,DEN,2022-11-16
SG,Peyton Watson,3500,DEN,NY,2022-11-16
SG,Trevor Keels,3500,NY,DEN,2022-11-16
SG,Ryan Rollins,3500,GS,PHO,2022-11-16
SF,Patrick Baldwin,3500,GS,PHO,2022-11-16
